Rider,Qual,Wup,Sprint,Race Pts,Qual Pts,Wup Pts,Sprint Pts
F.Bagnaia,1,5,4,370,380,207,281
J.Martin,2,2,1,337,368,245,375
M.Marquez,6,1,3,277,202,259,284
E.Bastianini,4,3,2,267,211,229,286
B.Binder,11,10,6,172,118,138,131
P.Acosta,5,4,9,151,202,207,159
F.Digiannantoni,12,11,14,138,115,120,99
M.Bezzecchi,9,15,5,136,147,72,100
A.Marquez,10,8,11,135,130,159,120
M.Viñales,3,9,5,134,220,145,179
F.Morbidelli,8,6,8,115,157,197,145
A.Espargaro,7,14,7,108,172,77,155
F.Quartararo,14,12,12,93,81,119,111
J.Miller,15,13,7,65,73,160,85
M.Oliveira,16,16,15,59,57,51,72
